,neg_pos_volume_summary,candle_LZ,cumsum,cumsum_%_50_000,cumsum_%_TrueFalse
2023-01-04 00:15:00,neg,-4887.635117775373,-3451174.406181867,48825.59381813323,False
2023-01-04 00:30:00,neg,-5611.117464661969,-3456785.523646529,43214.47635347117,False
2023-01-04 00:45:00,neg,-6725.262813388388,-3463510.786459917,36489.2135400828,False
2023-01-04 01:00:00,neg,-9319.944690950375,-3472830.7311508674,27169.268849132583,False
2023-01-04 01:15:00,neg,-589.0975240089005,-3473419.828674876,26580.17132512387,False
2023-01-04 01:30:00,neg,-1969.9495023095012,-3475389.7781771854,24610.22182281455,False
2023-01-04 01:45:00,neg,-50429.93183357766,-3525819.7100107633,24180.289989236742,False
2023-01-04 02:00:00,neg,-11285.937120659835,-3537105.647131423,12894.352868577,False
2023-01-04 02:15:00,neg,-9811.160054367601,-3546916.8071857905,3083.1928142094985,True
2023-01-04 02:30:00,neg,-15230.017888378456,-3562146.825074169,37853.17492583115,False
2023-01-04 02:45:00,neg,-14820.71372349792,-3576967.538797667,23032.461202333216,False
2023-01-04 03:00:00,neg,-13667.303380638392,-3590634.842178305,9365.157821694855,False
2023-01-04 03:15:00,neg,-10485.683461242928,-3601120.525639548,48879.47436045203,False
2023-01-05 18:15:00,neg,-2632.9554974045354,-3603753.4811369525,46246.51886304747,False
2023-01-05 18:30:00,neg,-13263.204671328114,-3617016.6858082805,32983.31419171952,False
2023-01-05 18:45:00,neg,-36858.22225882245,-3653874.908067103,46125.09193289699,False
2023-01-05 19:00:00,neg,-52048.00391557113,-3705922.911982674,44077.08801732585,False
2023-01-05 19:15:00,neg,-42566.76256884732,-3748489.6745515214,1510.325448478572,True
2023-01-05 19:30:00,neg,-25977.865842360625,-3774467.540393882,25532.459606118035,False
2023-01-05 19:45:00,neg,-27017.92184528765,-3801485.4622391695,48514.537760830484,False
2023-01-05 20:00:00,neg,-44417.16706121917,-3845902.6293003885,4097.3706996114925,True
2023-01-05 20:15:00,neg,-32356.413544253122,-3878259.0428446415,21740.957155358512,False
2023-01-05 20:30:00,neg,-22900.0375234515,-3901159.080368093,48840.919631906785,False
2023-01-05 20:45:00,neg,-15183.368798600268,-3916342.4491666933,33657.55083330674,False
2023-01-05 21:00:00,neg,-6649.9259279299595,-3922992.3750946233,27007.624905376695,False
2023-01-05 23:15:00,neg,-12873.448081242035,-3935865.823175865,14134.176824134775,False
2023-01-05 23:30:00,neg,-19646.13788789672,-3955511.9610637617,44488.03893623827,False
2023-01-05 23:45:00,neg,-25220.962587247057,-3980732.923651009,19267.076348991133,False
2023-01-06 12:30:00,neg,-7228.949215204461,-3987961.8728662133,12038.127133786678,False
2023-01-06 14:45:00,neg,-2282.1162867912667,-3990243.9891530047,9756.010846995283,False
2023-01-06 15:00:00,neg,-18455.10796347339,-4008699.0971164783,41300.90288352175,False
2023-01-06 15:15:00,neg,-34627.27822033855,-4043326.375336817,6673.624663183,True
2023-01-06 15:30:00,neg,-38126.67948183606,-4081453.054818653,18546.945181346964,False
2023-01-06 15:45:00,neg,-46173.274871061054,-4127626.329689714,22373.670310285874,False
2023-01-06 16:00:00,neg,-39407.4438436797,-4167033.7735333936,32966.22646660637,False
2023-01-06 16:15:00,neg,-34327.49832667933,-4201361.271860073,48638.72813992668,False
2023-01-06 16:30:00,neg,-32609.6015745317,-4233970.873434605,16029.126565394923,False
